# case 0152  h_peak=0.90 m  t_peak=480 min  alpha=4.0  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
1006.0,0.1196,0.3458
1007.0,0.1191,0.3451
1008.0,0.1186,0.3444
1009.0,0.1182,0.3438
1010.0,0.1177,0.3431
1011.0,0.1173,0.3425
1012.0,0.1168,0.3418
1013.0,0.1164,0.3412
1014.0,0.1159,0.3404
1015.0,0.1155,0.3399
1016.0,0.1151,0.3393
1017.0,0.1146,0.3385
1018.0,0.1142,0.3379
1019.0,0.1137,0.3372
1020.0,0.1133,0.3366
1021.0,0.1129,0.336
1022.0,0.1124,0.3353
1023.0,0.112,0.3347
1024.0,0.1116,0.3341
1025.0,0.1111,0.3333
1026.0,0.1107,0.3327
1027.0,0.1103,0.3321
1028.0,0.1099,0.3315
1029.0,0.1095,0.3309
1030.0,0.109,0.3302
1031.0,0.1086,0.3295
1032.0,0.1082,0.3289
1033.0,0.1078,0.3283
1034.0,0.1074,0.3277
1035.0,0.107,0.3271
1036.0,0.1066,0.3265
1037.0,0.1061,0.3257
1038.0,0.1057,0.3251
1039.0,0.1053,0.3245
1040.0,0.1049,0.3239
1041.0,0.1045,0.3233
1042.0,0.1041,0.3226
1043.0,0.1037,0.322
1044.0,0.1033,0.3214
1045.0,0.1029,0.3208
1046.0,0.1025,0.3202
1047.0,0.1022,0.3197
1048.0,0.1018,0.3191
1049.0,0.1014,0.3184
1050.0,0.101,0.3178
1051.0,0.1006,0.3172
1052.0,0.1002,0.3165
1053.0,0.0998,0.3159
1054.0,0.0994,0.3153
1055.0,0.0991,0.3148
1056.0,0.0987,0.3142
1057.0,0.0983,0.3135
1058.0,0.0979,0.3129
1059.0,0.0976,0.3124
1060.0,0.0972,0.3118
1061.0,0.0968,0.3111
1062.0,0.0964,0.3105
1063.0,0.0961,0.31
1064.0,0.0957,0.3094
1065.0,0.0953,0.3087
1066.0,0.095,0.3082
1067.0,0.0946,0.3076
1068.0,0.0942,0.3069
1069.0,0.0939,0.3064
1070.0,0.0935,0.3058
1071.0,0.0932,0.3053
1072.0,0.0928,0.3046
1073.0,0.0925,0.3041
1074.0,0.0921,0.3035
1075.0,0.0917,0.3028
1076.0,0.0914,0.3023
1077.0,0.091,0.3017
1078.0,0.0907,0.3012
1079.0,0.0903,0.3005
1080.0,0.09,0.3
1081.0,0.0897,0.2995
1082.0,0.0893,0.2988
1083.0,0.089,0.2983
1084.0,0.0886,0.2977
1085.0,0.0883,0.2972
1086.0,0.088,0.2966
1087.0,0.0876,0.296
1088.0,0.0873,0.2955
1089.0,0.0869,0.2948
1090.0,0.0866,0.2943
1091.0,0.0863,0.2938
1092.0,0.0859,0.2931
1093.0,0.0856,0.2926
1094.0,0.0853,0.2921
1095.0,0.085,0.2915
1096.0,0.0846,0.2909
1097.0,0.0843,0.2903
1098.0,0.084,0.2898
1099.0,0.0837,0.2893
1100.0,0.0834,0.2888
1101.0,0.083,0.2881
1102.0,0.0827,0.2876
1103.0,0.0824,0.2871
1104.0,0.0821,0.2865
1105.0,0.0818,0.286
1106.0,0.0815,0.2855
1107.0,0.0811,0.2848
1108.0,0.0808,0.2843
1109.0,0.0805,0.2837
1110.0,0.0802,0.2832
1111.0,0.0799,0.2827
1112.0,0.0796,0.2821
1113.0,0.0793,0.2816
1114.0,0.079,0.2811
1115.0,0.0787,0.2805
1116.0,0.0784,0.28
1117.0,0.0781,0.2795
1118.0,0.0778,0.2789
1119.0,0.0775,0.2784
1120.0,0.0772,0.2778
1121.0,0.0769,0.2773
1122.0,0.0766,0.2768
1123.0,0.0763,0.2762
1124.0,0.076,0.2757
1125.0,0.0757,0.2751
1126.0,0.0754,0.2746
1127.0,0.0751,0.274
1128.0,0.0749,0.2737
1129.0,0.0746,0.2731
1130.0,0.0743,0.2726
1131.0,0.074,0.272
1132.0,0.0737,0.2715
1133.0,0.0734,0.2709
1134.0,0.0732,0.2706
1135.0,0.0729,0.27
1136.0,0.0726,0.2694
1137.0,0.0723,0.2689
1138.0,0.072,0.2683
1139.0,0.0718,0.268
1140.0,0.0715,0.2674
1141.0,0.0712,0.2668
1142.0,0.0709,0.2663
1143.0,0.0707,0.2659
1144.0,0.0704,0.2653
1145.0,0.0701,0.2648
1146.0,0.0699,0.2644
1147.0,0.0696,0.2638
1148.0,0.0693,0.2632
1149.0,0.0691,0.2629
1150.0,0.0688,0.2623
1151.0,0.0685,0.2617
1152.0,0.0683,0.2613
1153.0,0.068,0.2608
1154.0,0.0677,0.2602
1155.0,0.0675,0.2598
1156.0,0.0672,0.2592
1157.0,0.067,0.2588
1158.0,0.0667,0.2583
1159.0,0.0665,0.2579
1160.0,0.0662,0.2573
1161.0,0.066,0.2569
1162.0,0.0657,0.2563
1163.0,0.0654,0.2557
1164.0,0.0652,0.2553
1165.0,0.0649,0.2548
1166.0,0.0647,0.2544
1167.0,0.0645,0.254
1168.0,0.0642,0.2534
1169.0,0.064,0.253
1170.0,0.0637,0.2524
1171.0,0.0635,0.252
1172.0,0.0632,0.2514
1173.0,0.063,0.251
1174.0,0.0627,0.2504
1175.0,0.0625,0.25
1176.0,0.0623,0.2496
1177.0,0.062,0.249
1178.0,0.0618,0.2486
1179.0,0.0616,0.2482
1180.0,0.0613,0.2476
1181.0,0.0611,0.2472
1182.0,0.0608,0.2466
1183.0,0.0606,0.2462
1184.0,0.0604,0.2458
1185.0,0.0602,0.2454
1186.0,0.0599,0.2447
1187.0,0.0597,0.2443
1188.0,0.0595,0.2439
1189.0,0.0592,0.2433
1190.0,0.059,0.2429
1191.0,0.0588,0.2425
1192.0,0.0586,0.2421
1193.0,0.0583,0.2415
1194.0,0.0581,0.241
1195.0,0.0579,0.2406
1196.0,0.0577,0.2402
1197.0,0.0574,0.2396
1198.0,0.0572,0.2392
1199.0,0.057,0.2387
1200.0,0.0568,0.2383
1201.0,0.0566,0.2379
1202.0,0.0564,0.2375
1203.0,0.0561,0.2369
1204.0,0.0559,0.2364
1205.0,0.0557,0.236
1206.0,0.0555,0.2356
1207.0,0.0553,0.2352
1208.0,0.0551,0.2347
1209.0,0.0549,0.2343
1210.0,0.0546,0.2337
1211.0,0.0544,0.2332
1212.0,0.0542,0.2328
1213.0,0.054,0.2324
1214.0,0.0538,0.2319
1215.0,0.0536,0.2315
1216.0,0.0534,0.2311
1217.0,0.0532,0.2307
1218.0,0.053,0.2302
1219.0,0.0528,0.2298
1220.0,0.0526,0.2293
1221.0,0.0524,0.2289
1222.0,0.0522,0.2285
1223.0,0.052,0.228
1224.0,0.0518,0.2276
1225.0,0.0516,0.2272
1226.0,0.0514,0.2267
1227.0,0.0512,0.2263
1228.0,0.051,0.2258
1229.0,0.0508,0.2254
1230.0,0.0506,0.2249
1231.0,0.0504,0.2245
1232.0,0.0502,0.2241
1233.0,0.05,0.2236
1234.0,0.0498,0.2232
1235.0,0.0496,0.2227
1236.0,0.0495,0.2225
1237.0,0.0493,0.222
1238.0,0.0491,0.2216
1239.0,0.0489,0.2211
1240.0,0.0487,0.2207
1241.0,0.0485,0.2202
1242.0,0.0483,0.2198
1243.0,0.0481,0.2193
1244.0,0.048,0.2191
1245.0,0.0478,0.2186
1246.0,0.0476,0.2182
1247.0,0.0474,0.2177
1248.0,0.0472,0.2173
1249.0,0.0471,0.217
1250.0,0.0469,0.2166
1251.0,0.0467,0.2161
1252.0,0.0465,0.2156
1253.0,0.0463,0.2152
1254.0,0.0462,0.2149
1255.0,0.046,0.2145
1256.0,0.0458,0.214
1257.0,0.0456,0.2135
1258.0,0.0455,0.2133
1259.0,0.0453,0.2128
1260.0,0.0451,0.2124
1261.0,0.0449,0.2119
1262.0,0.0448,0.2117
1263.0,0.0446,0.2112
1264.0,0.0444,0.2107
1265.0,0.0442,0.2102
1266.0,0.0441,0.21
1267.0,0.0439,0.2095
1268.0,0.0437,0.209
1269.0,0.0436,0.2088
1270.0,0.0434,0.2083
1271.0,0.0432,0.2078
1272.0,0.0431,0.2076
1273.0,0.0429,0.2071
1274.0,0.0427,0.2066
1275.0,0.0426,0.2064
1276.0,0.0424,0.2059
1277.0,0.0423,0.2057
1278.0,0.0421,0.2052
1279.0,0.0419,0.2047
1280.0,0.0418,0.2045
1281.0,0.0416,0.204
1282.0,0.0415,0.2037
1283.0,0.0413,0.2032
1284.0,0.0411,0.2027
1285.0,0.041,0.2025
1286.0,0.0408,0.202
1287.0,0.0407,0.2017
1288.0,0.0405,0.2012
1289.0,0.0404,0.201
1290.0,0.0402,0.2005
1291.0,0.04,0.2
1292.0,0.0399,0.1997
1293.0,0.0397,0.1992
1294.0,0.0396,0.199
1295.0,0.0394,0.1985
1296.0,0.0393,0.1982
1297.0,0.0391,0.1977
1298.0,0.039,0.1975
1299.0,0.0388,0.197
1300.0,0.0387,0.1967
1301.0,0.0385,0.1962
1302.0,0.0384,0.196
1303.0,0.0382,0.1954
1304.0,0.0381,0.1952
1305.0,0.038,0.1949
1306.0,0.0378,0.1944
1307.0,0.0377,0.1942
1308.0,0.0375,0.1936
1309.0,0.0374,0.1934
1310.0,0.0372,0.1929
1311.0,0.0371,0.1926
1312.0,0.0369,0.1921
1313.0,0.0368,0.1918
1314.0,0.0367,0.1916
1315.0,0.0365,0.191
1316.0,0.0364,0.1908
1317.0,0.0362,0.1903
1318.0,0.0361,0.19
1319.0,0.036,0.1897
1320.0,0.0358,0.1892
1321.0,0.0357,0.1889
1322.0,0.0356,0.1887
1323.0,0.0354,0.1881
1324.0,0.0353,0.1879
1325.0,0.0351,0.1873
1326.0,0.035,0.1871
1327.0,0.0349,0.1868
1328.0,0.0347,0.1863
1329.0,0.0346,0.186
1330.0,0.0345,0.1857
1331.0,0.0343,0.1852
1332.0,0.0342,0.1849
1333.0,0.0341,0.1847
1334.0,0.034,0.1844
1335.0,0.0338,0.1838
1336.0,0.0337,0.1836
1337.0,0.0336,0.1833
1338.0,0.0334,0.1828
1339.0,0.0333,0.1825
1340.0,0.0332,0.1822
1341.0,0.0331,0.1819
1342.0,0.0329,0.1814
1343.0,0.0328,0.1811
1344.0,0.0327,0.1808
1345.0,0.0326,0.1806
1346.0,0.0324,0.18
1347.0,0.0323,0.1797
1348.0,0.0322,0.1794
1349.0,0.0321,0.1792
1350.0,0.0319,0.1786
1351.0,0.0318,0.1783
1352.0,0.0317,0.178
1353.0,0.0316,0.1778
1354.0,0.0314,0.1772
1355.0,0.0313,0.1769
1356.0,0.0312,0.1766
1357.0,0.0311,0.1764
1358.0,0.031,0.1761
1359.0,0.0308,0.1755
1360.0,0.0307,0.1752
1361.0,0.0306,0.1749
1362.0,0.0305,0.1746
1363.0,0.0304,0.1744
1364.0,0.0303,0.1741
1365.0,0.0301,0.1735
1366.0,0.03,0.1732
1367.0,0.0299,0.1729
1368.0,0.0298,0.1726
1369.0,0.0297,0.1723
1370.0,0.0296,0.172
1371.0,0.0295,0.1718
1372.0,0.0293,0.1712
1373.0,0.0292,0.1709
1374.0,0.0291,0.1706
1375.0,0.029,0.1703
1376.0,0.0289,0.17
1377.0,0.0288,0.1697
1378.0,0.0287,0.1694
1379.0,0.0286,0.1691
1380.0,0.0285,0.1688
1381.0,0.0284,0.1685
1382.0,0.0282,0.1679
1383.0,0.0281,0.1676
1384.0,0.028,0.1673
1385.0,0.0279,0.167
1386.0,0.0278,0.1667
1387.0,0.0277,0.1664
1388.0,0.0276,0.1661
1389.0,0.0275,0.1658
1390.0,0.0274,0.1655
1391.0,0.0273,0.1652
1392.0,0.0272,0.1649
1393.0,0.0271,0.1646
1394.0,0.027,0.1643
1395.0,0.0269,0.164
1396.0,0.0268,0.1637
1397.0,0.0267,0.1634
1398.0,0.0266,0.1631
1399.0,0.0265,0.1628
1400.0,0.0264,0.1625
1401.0,0.0263,0.1622
1402.0,0.0262,0.1619
1403.0,0.0261,0.1616
1404.0,0.026,0.1612
1405.0,0.0259,0.1609
1406.0,0.0258,0.1606
1407.0,0.0257,0.1603
1408.0,0.0256,0.16
1409.0,0.0255,0.1597
1410.0,0.0254,0.1594
1411.0,0.0253,0.1591
1412.0,0.0252,0.1587
1413.0,0.0251,0.1584
1414.0,0.025,0.1581
1415.0,0.0249,0.1578
1416.0,0.0248,0.1575
1417.0,0.0247,0.1572
1418.0,0.0246,0.1568
1419.0,0.0245,0.1565
1420.0,0.0244,0.1562
1421.0,0.0243,0.1559
1422.0,0.0242,0.1556
1423.0,0.0241,0.1552
1424.0,0.024,0.1549
1425.0,0.0239,0.1546
1426.0,0.0239,0.1546
1427.0,0.0238,0.1543
1428.0,0.0237,0.1539
1429.0,0.0236,0.1536
1430.0,0.0235,0.1533
1431.0,0.0234,0.153
1432.0,0.0233,0.1526
1433.0,0.0232,0.1523
1434.0,0.0231,0.152
1435.0,0.023,0.1517
1436.0,0.023,0.1517
1437.0,0.0229,0.1513
1438.0,0.0228,0.151
1439.0,0.0227,0.1507
1440.0,0.0226,0.1503
1441.0,0.0225,0.15
1442.0,0.0224,0.1497
1443.0,0.0223,0.1493
1444.0,0.0223,0.1493
1445.0,0.0222,0.149
1446.0,0.0221,0.1487
1447.0,0.022,0.1483
1448.0,0.0219,0.148
1449.0,0.0218,0.1476
1450.0,0.0218,0.1476
1451.0,0.0217,0.1473
1452.0,0.0216,0.147
1453.0,0.0215,0.1466
1454.0,0.0214,0.1463
1455.0,0.0213,0.1459
1456.0,0.0213,0.1459
1457.0,0.0212,0.1456
1458.0,0.0211,0.1453
1459.0,0.021,0.1449
1460.0,0.0209,0.1446
1461.0,0.0209,0.1446
1462.0,0.0208,0.1442
1463.0,0.0207,0.1439
1464.0,0.0206,0.1435
1465.0,0.0205,0.1432
1466.0,0.0205,0.1432
1467.0,0.0204,0.1428
1468.0,0.0203,0.1425
1469.0,0.0202,0.1421
1470.0,0.0201,0.1418
1471.0,0.0201,0.1418
1472.0,0.02,0.1414
1473.0,0.0199,0.1411
1474.0,0.0198,0.1407
1475.0,0.0198,0.1407
1476.0,0.0197,0.1404
1477.0,0.0196,0.14
1478.0,0.0195,0.1396
1479.0,0.0195,0.1396
1480.0,0.0194,0.1393
1481.0,0.0193,0.1389
1482.0,0.0192,0.1386
1483.0,0.0192,0.1386
1484.0,0.0191,0.1382
1485.0,0.019,0.1378
1486.0,0.0189,0.1375
1487.0,0.0189,0.1375
1488.0,0.0188,0.1371
1489.0,0.0187,0.1367
1490.0,0.0187,0.1367
1491.0,0.0186,0.1364
1492.0,0.0185,0.136
1493.0,0.0184,0.1356
1494.0,0.0184,0.1356
1495.0,0.0183,0.1353
1496.0,0.0182,0.1349
1497.0,0.0182,0.1349
1498.0,0.0181,0.1345
1499.0,0.018,0.1342
1500.0,0.018,0.1342
1501.0,0.0179,0.1338
1502.0,0.0178,0.1334
1503.0,0.0178,0.1334
1504.0,0.0177,0.133
1505.0,0.0176,0.1327
1506.0,0.0175,0.1323
1507.0,0.0175,0.1323
1508.0,0.0174,0.1319
1509.0,0.0173,0.1315
1510.0,0.0173,0.1315
1511.0,0.0172,0.1311
1512.0,0.0171,0.1308
1513.0,0.0171,0.1308
1514.0,0.017,0.1304
1515.0,0.017,0.1304
1516.0,0.0169,0.13
1517.0,0.0168,0.1296
1518.0,0.0168,0.1296
1519.0,0.0167,0.1292
1520.0,0.0166,0.1288
1521.0,0.0166,0.1288
1522.0,0.0165,0.1285
1523.0,0.0164,0.1281
1524.0,0.0164,0.1281
1525.0,0.0163,0.1277
1526.0,0.0163,0.1277
1527.0,0.0162,0.1273
1528.0,0.0161,0.1269
1529.0,0.0161,0.1269
1530.0,0.016,0.1265
1531.0,0.0159,0.1261
1532.0,0.0159,0.1261
1533.0,0.0158,0.1257
1534.0,0.0158,0.1257
1535.0,0.0157,0.1253
1536.0,0.0156,0.1249
1537.0,0.0156,0.1249
1538.0,0.0155,0.1245
1539.0,0.0155,0.1245
1540.0,0.0154,0.1241
1541.0,0.0153,0.1237
1542.0,0.0153,0.1237
1543.0,0.0152,0.1233
1544.0,0.0152,0.1233
1545.0,0.0151,0.1229
1546.0,0.0151,0.1229
1547.0,0.015,0.1225
1548.0,0.0149,0.1221
1549.0,0.0149,0.1221
1550.0,0.0148,0.1217
1551.0,0.0148,0.1217
1552.0,0.0147,0.1212
1553.0,0.0147,0.1212
1554.0,0.0146,0.1208
1555.0,0.0145,0.1204
1556.0,0.0145,0.1204
1557.0,0.0144,0.12
1558.0,0.0144,0.12
1559.0,0.0143,0.1196
1560.0,0.0143,0.1196
1561.0,0.0142,0.1192
1562.0,0.0142,0.1192
1563.0,0.0141,0.1187
1564.0,0.014,0.1183
1565.0,0.014,0.1183
1566.0,0.0139,0.1179
1567.0,0.0139,0.1179
1568.0,0.0138,0.1175
1569.0,0.0138,0.1175
1570.0,0.0137,0.117
1571.0,0.0137,0.117
1572.0,0.0136,0.1166
1573.0,0.0136,0.1166
1574.0,0.0135,0.1162
1575.0,0.0135,0.1162
1576.0,0.0134,0.1158
1577.0,0.0134,0.1158
1578.0,0.0133,0.1153
1579.0,0.0133,0.1153
1580.0,0.0132,0.1149
1581.0,0.0132,0.1149
1582.0,0.0131,0.1145
1583.0,0.0131,0.1145
1584.0,0.013,0.114
1585.0,0.013,0.114
1586.0,0.0129,0.1136
1587.0,0.0129,0.1136
1588.0,0.0128,0.1131
1589.0,0.0128,0.1131
1590.0,0.0127,0.1127
1591.0,0.0127,0.1127
1592.0,0.0126,0.1122
1593.0,0.0126,0.1122
1594.0,0.0125,0.1118
1595.0,0.0125,0.1118
1596.0,0.0124,0.1114
1597.0,0.0124,0.1114
1598.0,0.0123,0.1109
1599.0,0.0123,0.1109
1600.0,0.0122,0.1105
1601.0,0.0122,0.1105
1602.0,0.0121,0.11
1603.0,0.0121,0.11
1604.0,0.012,0.1095
1605.0,0.012,0.1095
1606.0,0.012,0.1095
1607.0,0.0119,0.1091
1608.0,0.0119,0.1091
1609.0,0.0118,0.1086
1610.0,0.0118,0.1086
1611.0,0.0117,0.1082
1612.0,0.0117,0.1082
1613.0,0.0116,0.1077
1614.0,0.0116,0.1077
1615.0,0.0115,0.1072
1616.0,0.0115,0.1072
1617.0,0.0115,0.1072
1618.0,0.0114,0.1068
1619.0,0.0114,0.1068
1620.0,0.0113,0.1063
1621.0,0.0113,0.1063
1622.0,0.0112,0.1058
1623.0,0.0112,0.1058
1624.0,0.0112,0.1058
1625.0,0.0111,0.1054
1626.0,0.0111,0.1054
1627.0,0.011,0.1049
1628.0,0.011,0.1049
1629.0,0.0109,0.1044
1630.0,0.0109,0.1044
1631.0,0.0109,0.1044
1632.0,0.0108,0.1039
1633.0,0.0108,0.1039
1634.0,0.0107,0.1034
1635.0,0.0107,0.1034
1636.0,0.0107,0.1034
1637.0,0.0106,0.103
1638.0,0.0106,0.103
1639.0,0.0105,0.1025
1640.0,0.0105,0.1025
1641.0,0.0105,0.1025
1642.0,0.0104,0.102
1643.0,0.0104,0.102
1644.0,0.0103,0.1015
1645.0,0.0103,0.1015
1646.0,0.0103,0.1015
1647.0,0.0102,0.101
1648.0,0.0102,0.101
1649.0,0.0101,0.1005
1650.0,0.0101,0.1005
1651.0,0.0101,0.1005
1652.0,0.01,0.1
1653.0,0.01,0.1
1654.0,0.0099,0.0995
1655.0,0.0099,0.0995
1656.0,0.0099,0.0995
1657.0,0.0098,0.099
1658.0,0.0098,0.099
1659.0,0.0098,0.099
1660.0,0.0097,0.0985
1661.0,0.0097,0.0985
1662.0,0.0096,0.098
1663.0,0.0096,0.098
1664.0,0.0096,0.098
1665.0,0.0095,0.0975
1666.0,0.0095,0.0975
1667.0,0.0095,0.0975
1668.0,0.0094,0.097
1669.0,0.0094,0.097
1670.0,0.0094,0.097
1671.0,0.0093,0.0964
1672.0,0.0093,0.0964
1673.0,0.0092,0.0959
1674.0,0.0092,0.0959
1675.0,0.0092,0.0959
1676.0,0.0091,0.0954
1677.0,0.0091,0.0954
1678.0,0.0091,0.0954
1679.0,0.009,0.0949
1680.0,0.009,0.0949
1681.0,0.009,0.0949
1682.0,0.0089,0.0943
1683.0,0.0089,0.0943
1688.0,0.0,0.0
